Vármegye,Település,Becslőjárás
Borsod-Abaúj-Zemplén,Alsógagy,139
Borsod-Abaúj-Zemplén,Alsóregmec,74
Borsod-Abaúj-Zemplén,Alsószuha,132
Borsod-Abaúj-Zemplén,Alsótelekes,29
Borsod-Abaúj-Zemplén,Alsóvadász,167
Borsod-Abaúj-Zemplén,Alsózsolca,106
Borsod-Abaúj-Zemplén,Arka,167
Borsod-Abaúj-Zemplén,Arló,134
Borsod-Abaúj-Zemplén,Arnót,29
Borsod-Abaúj-Zemplén,Ároktő,106
Borsod-Abaúj-Zemplén,Aszaló,167
Borsod-Abaúj-Zemplén,Baktakék,167
Borsod-Abaúj-Zemplén,Balajt,29
Borsod-Abaúj-Zemplén,Bánhorváti,134
Borsod-Abaúj-Zemplén,Bánréve,131
Borsod-Abaúj-Zemplén,Baskó,168
Borsod-Abaúj-Zemplén,Becskeháza,188
Borsod-Abaúj-Zemplén,Bekecs,186
Borsod-Abaúj-Zemplén,Berente,133
Borsod-Abaúj-Zemplén,Beret,167
Borsod-Abaúj-Zemplén,Berzék,186
Borsod-Abaúj-Zemplén,Bodroghalom,79
Borsod-Abaúj-Zemplén,Bodrogkeresztúr,185
Borsod-Abaúj-Zemplén,Bodrogkisfalud,185
Borsod-Abaúj-Zemplén,Bodrogolaszi,184
Borsod-Abaúj-Zemplén,Bódvalenke,188
Borsod-Abaúj-Zemplén,Bódvarákó,188
Borsod-Abaúj-Zemplén,Bódvaszilas,187
Borsod-Abaúj-Zemplén,Bogács,102
Borsod-Abaúj-Zemplén,Boldogkőújfalu,167
Borsod-Abaúj-Zemplén,Boldogkőváralja,167
Borsod-Abaúj-Zemplén,Boldva,29
Borsod-Abaúj-Zemplén,Borsodbóta,134
Borsod-Abaúj-Zemplén,Borsodgeszt,102
Borsod-Abaúj-Zemplén,Borsodivánka,101
Borsod-Abaúj-Zemplén,Borsodnádasd,134
Borsod-Abaúj-Zemplén,Borsodszentgyörgy,134
